Week,Date,Avg_Processing_Days,Target_Days,Cases_Filed,Division
1,2026-01-06,15.2,15,45,Civil
2,2026-01-13,14.8,15,52,Civil
3,2026-01-20,15.5,15,48,Civil
4,2026-01-27,14.6,15,51,Civil
5,2026-02-03,15.1,15,47,Civil
6,2026-02-10,15.3,15,49,Civil
7,2026-02-17,14.9,15,53,Civil
8,2026-02-24,15.4,15,46,Civil
9,2026-03-03,14.7,15,50,Civil
10,2026-03-10,15.2,15,48,Civil
11,2026-03-17,15.0,15,51,Civil
12,2026-03-24,14.8,15,47,Civil
13,2026-03-31,15.3,15,52,Civil
14,2026-04-07,15.1,15,49,Civil
15,2026-04-14,14.9,15,50,Civil
16,2026-04-21,15.2,15,48,Civil
17,2026-04-28,15.0,15,51,Civil
18,2026-05-05,14.7,15,46,Civil
19,2026-05-12,15.4,15,53,Civil
20,2026-05-19,15.1,15,49,Civil
21,2026-05-26,15.6,15,47,Civil
22,2026-06-02,15.4,15,52,Civil
23,2026-06-09,15.8,15,48,Civil
24,2026-06-16,15.5,15,51,Civil
25,2026-06-23,15.9,15,46,Civil
26,2026-06-30,15.7,15,50,Civil
27,2026-07-07,16.1,15,53,Civil
28,2026-07-14,15.8,15,47,Civil
29,2026-07-21,16.2,15,49,Civil
30,2026-07-28,15.9,15,52,Civil
31,2026-08-04,16.4,15,48,Civil
32,2026-08-11,16.1,15,51,Civil
33,2026-08-18,16.5,15,46,Civil
34,2026-08-25,16.2,15,50,Civil
35,2026-09-01,16.6,15,53,Civil
36,2026-09-08,16.3,15,47,Civil
37,2026-09-15,16.7,15,49,Civil
38,2026-09-22,16.4,15,52,Civil
39,2026-09-29,16.8,15,48,Civil
40,2026-10-06,16.5,15,51,Civil
