Claim_ID,Processing_Days,Review_Time_Hours,Benefit_Type,Office,Applicant_Age,Documentation_Complete,Decision
CLM001,15,4.2,Unemployment,Central,42,Yes,Approved
CLM002,12,3.5,Disability,North,55,Yes,Approved
CLM003,28,8.5,Disability,Central,48,No,Pending
CLM004,14,4.0,Unemployment,South,35,Yes,Approved
CLM005,18,5.2,Healthcare,East,62,Yes,Approved
CLM006,10,2.8,Unemployment,Central,28,Yes,Approved
CLM007,16,4.5,Disability,North,51,Yes,Approved
CLM008,35,12.0,Disability,South,45,No,Denied
CLM009,13,3.8,Unemployment,East,38,Yes,Approved
CLM010,17,4.8,Healthcare,Central,58,Yes,Approved
CLM011,42,15.5,Disability,North,52,No,Pending
CLM012,11,3.2,Unemployment,South,31,Yes,Approved
CLM013,14,4.0,Healthcare,East,65,Yes,Approved
CLM014,22,6.5,Disability,Central,49,Yes,Approved
CLM015,15,4.3,Unemployment,North,40,Yes,Approved
CLM016,19,5.5,Healthcare,South,60,Yes,Approved
CLM017,30,9.8,Disability,East,53,No,Pending
CLM018,12,3.4,Unemployment,Central,33,Yes,Approved
CLM019,16,4.6,Disability,North,47,Yes,Approved
CLM020,13,3.7,Healthcare,South,59,Yes,Approved
CLM021,14,4.1,Unemployment,East,36,Yes,Approved
CLM022,25,7.5,Disability,Central,50,No,Approved
CLM023,11,3.0,Unemployment,North,29,Yes,Approved
CLM024,17,4.9,Healthcare,South,63,Yes,Approved
CLM025,20,5.8,Disability,East,54,Yes,Approved
CLM026,13,3.6,Unemployment,Central,41,Yes,Approved
CLM027,15,4.4,Healthcare,North,61,Yes,Approved
CLM028,38,13.2,Disability,South,46,No,Denied
CLM029,12,3.3,Unemployment,East,34,Yes,Approved
CLM030,16,4.7,Disability,Central,56,Yes,Approved
CLM031,14,3.9,Unemployment,North,39,Yes,Approved
CLM032,18,5.1,Healthcare,South,64,Yes,Approved
CLM033,26,7.8,Disability,East,51,No,Approved
CLM034,11,3.1,Unemployment,Central,30,Yes,Approved
CLM035,15,4.2,Healthcare,North,58,Yes,Approved
CLM036,13,3.6,Unemployment,South,37,Yes,Approved
CLM037,21,6.2,Disability,East,48,Yes,Approved
CLM038,32,10.5,Disability,Central,44,No,Pending
CLM039,12,3.4,Unemployment,North,32,Yes,Approved
CLM040,16,4.6,Healthcare,South,62,Yes,Approved
