Interaction_ID,Wait_Time_Min,Service_Time_Min,Satisfaction_Score,Service_Type,Channel,Office,Resolution
CS001,8,12,4.5,Tax_Question,Phone,Main,Resolved
CS002,5,8,4.8,Utility_Billing,Counter,Branch_A,Resolved
CS003,18,25,3.2,Permit_Status,Phone,Main,Transferred
CS004,6,10,4.6,Vehicle_Registration,Counter,Branch_B,Resolved
CS005,12,18,3.8,Tax_Question,Phone,Main,Callback
CS006,3,6,5.0,Utility_Billing,Online,Main,Resolved
CS007,9,14,4.2,Business_License,Counter,Branch_A,Resolved
CS008,22,32,2.8,Complaint,Phone,Main,Escalated
CS009,5,9,4.7,Vehicle_Registration,Counter,Branch_B,Resolved
CS010,10,15,4.0,Tax_Question,Phone,Main,Resolved
CS011,28,40,2.5,Complaint,Counter,Main,Escalated
CS012,4,7,4.9,Utility_Billing,Online,Main,Resolved
CS013,6,10,4.6,Business_License,Counter,Branch_A,Resolved
CS014,15,22,3.5,Permit_Status,Phone,Main,Callback
CS015,7,11,4.4,Vehicle_Registration,Counter,Branch_B,Resolved
CS016,11,16,4.0,Tax_Question,Phone,Main,Resolved
CS017,20,28,3.0,Complaint,Phone,Main,Transferred
CS018,4,7,4.8,Utility_Billing,Counter,Branch_A,Resolved
CS019,13,19,3.7,Business_License,Phone,Main,Callback
CS020,5,9,4.7,Vehicle_Registration,Counter,Branch_B,Resolved
CS021,8,13,4.3,Tax_Question,Counter,Main,Resolved
CS022,16,24,3.4,Permit_Status,Phone,Main,Transferred
CS023,3,5,5.0,Utility_Billing,Online,Main,Resolved
CS024,9,14,4.2,Business_License,Counter,Branch_A,Resolved
CS025,14,20,3.6,Tax_Question,Phone,Main,Callback
CS026,6,10,4.5,Vehicle_Registration,Counter,Branch_B,Resolved
CS027,10,15,4.1,Utility_Billing,Phone,Main,Resolved
CS028,25,35,2.7,Complaint,Counter,Main,Escalated
CS029,5,8,4.7,Business_License,Counter,Branch_A,Resolved
CS030,11,17,3.9,Tax_Question,Phone,Main,Resolved
CS031,4,7,4.8,Vehicle_Registration,Counter,Branch_B,Resolved
CS032,12,18,3.8,Permit_Status,Phone,Main,Resolved
CS033,19,27,3.1,Complaint,Phone,Main,Transferred
CS034,6,9,4.6,Utility_Billing,Counter,Branch_A,Resolved
CS035,8,12,4.4,Business_License,Counter,Branch_B,Resolved
CS036,3,6,4.9,Vehicle_Registration,Online,Main,Resolved
CS037,14,21,3.6,Tax_Question,Phone,Main,Callback
CS038,23,33,2.9,Complaint,Counter,Main,Escalated
CS039,7,11,4.5,Utility_Billing,Counter,Branch_A,Resolved
CS040,9,14,4.2,Business_License,Phone,Main,Resolved
