Case_ID,Filing_to_Disposition_Days,Hearings_Count,Case_Type,Division,Judge,Filing_Method,Disposition
CAS001,45,2,Civil,General,Adams,Electronic,Settled
CAS002,32,1,Civil,General,Baker,Electronic,Dismissed
CAS003,125,5,Civil,Complex,Adams,Paper,Trial_Verdict
CAS004,38,2,Civil,General,Chen,Electronic,Settled
CAS005,62,3,Criminal,Felony,Baker,Electronic,Plea
CAS006,28,1,Civil,Small_Claims,Davis,Electronic,Default
CAS007,55,2,Criminal,Misdemeanor,Chen,Electronic,Plea
CAS008,380,8,Civil,Complex,Adams,Paper,Trial_Verdict
CAS009,35,2,Civil,General,Davis,Electronic,Settled
CAS010,48,2,Criminal,Misdemeanor,Baker,Electronic,Dismissed
CAS011,210,10,Criminal,Felony,Chen,Paper,Trial_Verdict
CAS012,25,1,Civil,Small_Claims,Adams,Electronic,Settled
CAS013,42,2,Civil,General,Davis,Electronic,Settled
CAS014,78,4,Criminal,Felony,Baker,Electronic,Plea
CAS015,30,1,Civil,Small_Claims,Chen,Electronic,Default
CAS016,52,2,Civil,General,Adams,Electronic,Dismissed
CAS017,95,4,Civil,Complex,Davis,Electronic,Settled
CAS018,85,2,Criminal,Misdemeanor,Baker,Electronic,Plea
CAS019,88,1,Civil,General,Chen,Electronic,Settled
CAS020,92,3,Criminal,Felony,Adams,Electronic,Plea
CAS021,90,1,Civil,Small_Claims,Davis,Electronic,Default
CAS022,95,3,Civil,General,Baker,Electronic,Settled
CAS023,88,6,Civil,Complex,Chen,Paper,Trial_Verdict
CAS024,91,2,Criminal,Misdemeanor,Adams,Electronic,Dismissed
CAS025,89,2,Civil,General,Davis,Electronic,Settled
CAS026,85,4,Criminal,Felony,Baker,Electronic,Plea
CAS027,27,1,Civil,Small_Claims,Chen,Electronic,Settled
CAS028,50,2,Civil,General,Adams,Electronic,Settled
CAS029,165,7,Criminal,Felony,Davis,Paper,Trial_Verdict
CAS030,38,2,Criminal,Misdemeanor,Baker,Electronic,Plea
CAS031,42,2,Civil,General,Chen,Electronic,Dismissed
CAS032,72,3,Civil,Complex,Adams,Electronic,Settled
CAS033,24,1,Civil,Small_Claims,Davis,Electronic,Default
CAS034,290,2,Criminal,Misdemeanor,Baker,Electronic,Plea
CAS035,48,2,Civil,General,Chen,Electronic,Settled
CAS036,320,4,Criminal,Felony,Adams,Electronic,Plea
CAS037,30,1,Civil,Small_Claims,Davis,Electronic,Settled
CAS038,135,6,Civil,Complex,Baker,Paper,Trial_Verdict
CAS039,40,2,Civil,General,Chen,Electronic,Settled
CAS040,60,3,Criminal,Felony,Adams,Electronic,Plea
