Request_ID,Response_Days,Pages_Produced,Request_Type,Department,Requester_Type,Complexity,Status
PRR001,8,45,Standard,Finance,Media,Low,Completed
PRR002,5,12,Standard,HR,Citizen,Low,Completed
PRR003,18,250,Complex,Legal,Attorney,High,Completed
PRR004,6,28,Standard,Public_Works,Citizen,Low,Completed
PRR005,12,85,Standard,Planning,Business,Medium,Completed
PRR006,3,8,Standard,Clerk,Citizen,Low,Completed
PRR007,10,62,Standard,Police,Media,Medium,Completed
PRR008,25,420,Complex,Legal,Attorney,High,Completed
PRR009,7,35,Standard,Finance,Business,Low,Completed
PRR010,14,120,Complex,HR,Attorney,Medium,Completed
PRR011,30,580,Complex,Police,Media,High,Pending
PRR012,5,18,Standard,Clerk,Citizen,Low,Completed
PRR013,4,10,Standard,Parks,Citizen,Low,Completed
PRR014,16,180,Complex,Planning,Attorney,High,Completed
PRR015,9,55,Standard,Public_Works,Business,Medium,Completed
PRR016,11,75,Standard,Finance,Media,Medium,Completed
PRR017,22,320,Complex,Legal,Attorney,High,Completed
PRR018,4,15,Standard,Clerk,Citizen,Low,Completed
PRR019,13,95,Standard,Police,Business,Medium,Completed
PRR020,6,22,Standard,HR,Citizen,Low,Completed
PRR021,8,42,Standard,Planning,Media,Low,Completed
PRR022,19,280,Complex,Legal,Attorney,High,Completed
PRR023,3,6,Standard,Parks,Citizen,Low,Completed
PRR024,10,68,Standard,Finance,Business,Medium,Completed
PRR025,15,145,Complex,Police,Attorney,Medium,Completed
PRR026,5,20,Standard,Clerk,Citizen,Low,Completed
PRR027,9,52,Standard,Public_Works,Media,Medium,Completed
PRR028,28,485,Complex,Legal,Attorney,High,Pending
PRR029,6,30,Standard,HR,Business,Low,Completed
PRR030,12,88,Standard,Planning,Citizen,Medium,Completed
PRR031,4,12,Standard,Parks,Citizen,Low,Completed
PRR032,11,72,Standard,Finance,Media,Medium,Completed
PRR033,20,295,Complex,Police,Attorney,High,Completed
PRR034,5,16,Standard,Clerk,Citizen,Low,Completed
PRR035,8,48,Standard,Public_Works,Business,Low,Completed
PRR036,3,9,Standard,Parks,Citizen,Low,Completed
PRR037,14,110,Complex,HR,Attorney,Medium,Completed
PRR038,24,380,Complex,Legal,Media,High,Completed
PRR039,7,38,Standard,Finance,Citizen,Low,Completed
PRR040,10,65,Standard,Planning,Business,Medium,Completed
